                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.85328,                 1.5713,                 1.3118,                0.62766,                0.55729,                0.60015,                0.44542,                0.90016,                 1.4464,                 1.3489,               6.97e-05,               6.97e-05,               6.97e-05
                    103,                0.85507,                 1.5776,                 1.3146,                 0.6329,                0.55603,                0.60126,                0.44519,                0.89996,                 1.4439,                 1.3488,               6.94e-05,               6.94e-05,               6.94e-05
                    104,                0.85074,                 1.5825,                 1.3271,                0.63504,                0.55335,                0.60012,                0.44439,                0.90063,                 1.4445,                 1.3502,               6.91e-05,               6.91e-05,               6.91e-05
                    105,                0.85313,                 1.5624,                 1.3276,                0.63272,                0.55476,                0.60105,                0.44498,                0.89849,                 1.4385,                 1.3477,               6.88e-05,               6.88e-05,               6.88e-05
                    106,                0.85439,                 1.5562,                 1.3268,                0.65308,                0.54322,                0.60111,                0.44739,                 0.8985,                 1.4349,                 1.3485,               6.85e-05,               6.85e-05,               6.85e-05
                    107,                0.85858,                 1.5657,                 1.3186,                0.64857,                0.54739,                0.60393,                0.44921,                0.89856,                 1.4297,                 1.3482,               6.82e-05,               6.82e-05,               6.82e-05
                    108,                0.84665,                 1.5521,                 1.3139,                0.65601,                0.54383,                0.60342,                0.44917,                0.89827,                 1.4286,                 1.3478,               6.79e-05,               6.79e-05,               6.79e-05
                    109,                0.84377,                 1.5444,                  1.309,                0.64726,                0.54513,                0.60397,                0.44897,                0.89788,                 1.4291,                  1.348,               6.76e-05,               6.76e-05,               6.76e-05
                    110,                0.85127,                 1.5444,                 1.3029,                0.64853,                0.55505,                 0.6048,                0.44869,                0.89678,                 1.4257,                  1.346,               6.73e-05,               6.73e-05,               6.73e-05
                    111,                0.84626,                 1.5482,                 1.3138,                0.64669,                0.55249,                0.60517,                0.44949,                 0.8943,                 1.4254,                 1.3438,                6.7e-05,                6.7e-05,                6.7e-05
                    112,                0.84474,                 1.5392,                 1.3034,                0.64679,                0.55178,                0.60583,                0.44879,                0.89177,                 1.4259,                 1.3428,               6.67e-05,               6.67e-05,               6.67e-05
                    113,                0.85246,                  1.544,                 1.3205,                0.65364,                0.54515,                0.60612,                0.44942,                0.88929,                 1.4217,                 1.3398,               6.64e-05,               6.64e-05,               6.64e-05
                    114,                0.84532,                 1.5216,                 1.3183,                0.64618,                0.55214,                 0.6065,                0.44919,                0.88605,                 1.4204,                 1.3362,               6.61e-05,               6.61e-05,               6.61e-05
                    115,                0.84739,                 1.5359,                 1.3053,                0.63681,                0.55578,                0.60774,                0.45054,                0.88408,                 1.4166,                 1.3344,               6.58e-05,               6.58e-05,               6.58e-05
                    116,                0.84153,                 1.5375,                 1.3061,                0.64658,                0.55358,                0.60731,                0.45154,                0.88417,                 1.4169,                 1.3345,               6.55e-05,               6.55e-05,               6.55e-05
                    117,                0.84701,                 1.5297,                 1.3133,                0.65527,                0.54916,                0.60838,                 0.4521,                0.88185,                 1.4115,                 1.3323,               6.52e-05,               6.52e-05,               6.52e-05
                    118,                0.84419,                  1.538,                 1.3063,                0.65985,                0.55171,                0.60866,                0.45329,                0.88272,                  1.411,                 1.3331,               6.49e-05,               6.49e-05,               6.49e-05
                    119,                0.84581,                 1.5316,                 1.3155,                 0.6684,                0.54411,                0.61095,                0.45411,                0.88191,                 1.4102,                 1.3322,               6.46e-05,               6.46e-05,               6.46e-05
