                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.54333,                0.70356,                 1.0849,                0.77595,                0.67958,                0.75297,                0.62064,                0.67397,                 1.0222,                 1.1658,               6.97e-05,               6.97e-05,               6.97e-05
                    103,                0.54686,                0.70755,                 1.0876,                0.78007,                0.67523,                0.75365,                0.62204,                0.67628,                 1.0235,                 1.1678,               6.94e-05,               6.94e-05,               6.94e-05
                    104,                0.53788,                0.69749,                 1.0921,                0.78839,                0.67231,                0.75414,                0.62254,                0.67749,                 1.0229,                 1.1676,               6.91e-05,               6.91e-05,               6.91e-05
                    105,                0.54292,                0.69825,                 1.0957,                0.76603,                0.68398,                0.75256,                0.62257,                0.67584,                 1.0237,                 1.1659,               6.88e-05,               6.88e-05,               6.88e-05
                    106,                0.54061,                0.69923,                  1.095,                0.78745,                0.67522,                0.75101,                0.62117,                0.67511,                 1.0193,                 1.1654,               6.85e-05,               6.85e-05,               6.85e-05
                    107,                0.54764,                  0.704,                 1.0899,                0.80204,                0.66498,                0.75113,                0.61936,                0.67163,                 1.0217,                 1.1628,               6.82e-05,               6.82e-05,               6.82e-05
                    108,                0.54108,                0.69713,                 1.0882,                0.79647,                0.66612,                0.75072,                0.61853,                0.66882,                 1.0227,                 1.1608,               6.79e-05,               6.79e-05,               6.79e-05
                    109,                0.53926,                0.69278,                 1.0866,                0.80366,                0.66073,                 0.7519,                 0.6189,                0.67022,                 1.0129,                 1.1615,               6.76e-05,               6.76e-05,               6.76e-05
                    110,                 0.5393,                0.68892,                 1.0797,                0.77452,                0.68318,                0.75315,                0.62177,                0.66825,                 1.0081,                 1.1597,               6.73e-05,               6.73e-05,               6.73e-05
                    111,                0.54368,                0.69896,                 1.0917,                0.79913,                0.66693,                0.75375,                0.62274,                0.67007,                 1.0132,                 1.1606,                6.7e-05,                6.7e-05,                6.7e-05
                    112,                0.53766,                0.68629,                 1.0805,                0.79718,                0.67026,                0.75479,                0.62239,                 0.6662,                 1.0106,                 1.1562,               6.67e-05,               6.67e-05,               6.67e-05
                    113,                0.54434,                0.69959,                 1.0939,                0.77916,                0.67835,                0.75363,                0.62256,                0.66514,                 1.0163,                 1.1562,               6.64e-05,               6.64e-05,               6.64e-05
                    114,                0.53579,                 0.6803,                 1.0897,                0.77533,                0.67704,                0.75087,                 0.6199,                0.66604,                 1.0157,                 1.1579,               6.61e-05,               6.61e-05,               6.61e-05
                    115,                0.54021,                0.68875,                 1.0825,                0.77264,                0.67857,                0.74934,                 0.6187,                0.66798,                 1.0129,                 1.1601,               6.58e-05,               6.58e-05,               6.58e-05
                    116,                0.53704,                0.68458,                 1.0831,                0.78351,                0.66727,                 0.7483,                0.61907,                0.67226,                 1.0173,                 1.1648,               6.55e-05,               6.55e-05,               6.55e-05
                    117,                0.53967,                0.69438,                 1.0857,                0.77025,                0.67744,                0.74911,                0.61987,                0.67034,                 1.0162,                 1.1639,               6.52e-05,               6.52e-05,               6.52e-05
                    118,                 0.5364,                0.69321,                 1.0814,                0.78631,                 0.6685,                0.74993,                0.62144,                0.66938,                 1.0137,                  1.163,               6.49e-05,               6.49e-05,               6.49e-05
                    119,                0.53896,                0.68437,                 1.0877,                0.78433,                0.67096,                0.75019,                0.62116,                0.66812,                 1.0109,                 1.1614,               6.46e-05,               6.46e-05,               6.46e-05
                    120,                0.52924,                0.68172,                 1.0849,                0.78065,                0.67687,                  0.751,                0.62298,                0.66482,                 1.0081,                 1.1572,               6.43e-05,               6.43e-05,               6.43e-05
                    121,                0.53006,                 0.6695,                 1.0783,                0.78743,                0.66701,                0.75072,                0.62329,                0.66561,                 1.0075,                  1.159,                6.4e-05,                6.4e-05,                6.4e-05
                    122,                0.53838,                 0.6838,                 1.0781,                0.78484,                0.67181,                0.75137,                0.62408,                0.66775,                 1.0065,                 1.1619,               6.37e-05,               6.37e-05,               6.37e-05
                    123,                0.52682,                0.66926,                  1.088,                0.79409,                0.66584,                0.75148,                 0.6239,                0.66784,                 1.0073,                 1.1625,               6.34e-05,               6.34e-05,               6.34e-05
                    124,                0.52917,                0.67465,                 1.0843,                0.78908,                0.67023,                0.75325,                0.62472,                0.66824,                 1.0061,                 1.1641,               6.31e-05,               6.31e-05,               6.31e-05
                    125,                0.53298,                0.67806,                 1.0869,                0.80713,                0.65574,                0.75404,                0.62513,                0.66772,                 1.0065,                 1.1628,               6.28e-05,               6.28e-05,               6.28e-05
                    126,                0.52307,                0.67691,                 1.0724,                 0.7767,                0.67705,                 0.7558,                 0.6262,                0.66758,                 1.0035,                 1.1619,               6.25e-05,               6.25e-05,               6.25e-05
                    127,                0.53971,                0.68252,                 1.0861,                 0.7926,                  0.668,                0.75662,                0.62727,                0.66586,                 1.0019,                   1.16,               6.22e-05,               6.22e-05,               6.22e-05
                    128,                0.52577,                0.66673,                 1.0804,                0.79403,                0.66872,                0.75661,                0.62756,                0.66634,                 1.0012,                 1.1607,               6.19e-05,               6.19e-05,               6.19e-05
                    129,                0.53122,                0.68031,                 1.0873,                0.78465,                0.67704,                0.75597,                0.62781,                0.66976,                 1.0027,                 1.1638,               6.16e-05,               6.16e-05,               6.16e-05
                    130,                0.53836,                0.66694,                 1.0813,                0.78084,                0.68235,                0.75587,                0.62802,                  0.671,                  1.003,                  1.165,               6.13e-05,               6.13e-05,               6.13e-05
                    131,                0.52728,                0.67407,                 1.0796,                0.78371,                 0.6786,                0.75615,                0.62661,                0.67082,                 1.0017,                 1.1646,                6.1e-05,                6.1e-05,                6.1e-05
                    132,                0.53439,                0.66864,                 1.0834,                0.78516,                0.67484,                0.75597,                0.62539,                0.67055,                 1.0025,                 1.1646,               6.07e-05,               6.07e-05,               6.07e-05
                    133,                0.52711,                0.66845,                 1.0834,                0.77814,                0.68148,                0.75622,                0.62638,                0.66842,                0.99988,                 1.1627,               6.04e-05,               6.04e-05,               6.04e-05
                    134,                0.53435,                0.67471,                 1.0869,                0.77298,                0.68828,                0.75684,                0.62695,                0.66882,                  1.001,                 1.1637,               6.01e-05,               6.01e-05,               6.01e-05
                    135,                0.53041,                0.66331,                 1.0817,                0.77359,                0.69146,                0.75692,                0.62704,                0.66794,                 1.0024,                 1.1626,               5.98e-05,               5.98e-05,               5.98e-05
                    136,                0.52675,                0.66889,                 1.0767,                0.77709,                0.68848,                  0.757,                0.62715,                0.66797,                 1.0051,                  1.162,               5.95e-05,               5.95e-05,               5.95e-05
                    137,                0.52289,                0.65968,                 1.0721,                0.77405,                0.69524,                0.75742,                0.62633,                0.66686,                 1.0048,                 1.1608,               5.92e-05,               5.92e-05,               5.92e-05
                    138,                0.52298,                0.65911,                 1.0716,                0.77164,                0.69383,                 0.7569,                0.62675,                0.66588,                 1.0053,                 1.1597,               5.89e-05,               5.89e-05,               5.89e-05
                    139,                0.53654,                0.67593,                 1.0809,                 0.7691,                0.69773,                0.75792,                0.62705,                0.66488,                 1.0066,                 1.1592,               5.86e-05,               5.86e-05,               5.86e-05
                    140,                0.52343,                0.65614,                 1.0702,                0.76424,                0.70058,                0.75478,                0.62617,                0.66513,                 1.0072,                 1.1599,               5.83e-05,               5.83e-05,               5.83e-05
                    141,                0.53536,                0.67194,                  1.076,                0.76009,                0.70356,                0.75483,                0.62598,                0.66519,                 1.0057,                 1.1595,                5.8e-05,                5.8e-05,                5.8e-05
                    142,                0.52777,                0.66635,                 1.0753,                0.75806,                0.70529,                0.75534,                0.62562,                0.66492,                 1.0041,                 1.1585,               5.77e-05,               5.77e-05,               5.77e-05
                    143,                0.52568,                0.65459,                  1.078,                0.75813,                0.70587,                0.75562,                 0.6252,                0.66557,                 1.0038,                 1.1594,               5.74e-05,               5.74e-05,               5.74e-05
                    144,                0.52983,                0.65887,                 1.0848,                0.76387,                 0.7018,                0.75631,                0.62513,                0.66569,                 1.0038,                  1.159,               5.71e-05,               5.71e-05,               5.71e-05
                    145,                0.52314,                0.65517,                 1.0765,                0.76029,                0.70347,                0.75576,                 0.6249,                0.66572,                 1.0041,                 1.1583,               5.68e-05,               5.68e-05,               5.68e-05
                    146,                0.52638,                0.65569,                  1.082,                0.76055,                0.70093,                0.75618,                0.62479,                0.66652,                 1.0036,                 1.1589,               5.65e-05,               5.65e-05,               5.65e-05
                    147,                0.53597,                0.67507,                 1.0787,                0.75752,                0.70131,                 0.7564,                0.62491,                0.66601,                 1.0048,                 1.1582,               5.62e-05,               5.62e-05,               5.62e-05
